Model,Tumor Type,Treatment,Volume (mm3),body weight (g),Days Post T0,% TVol Difference,% BW Difference
X-1468,BRCA,INC424,823.8,32.1,24.0,297.2,10.7
X-1468,BRCA,INC424,903.2,32.7,28.0,335.5,12.8
X-1468,BRCA,INC424,1160.4,33.1,31.0,459.5,14.1
X-1468,BRCA,INC424,1205.2,35.1,35.0,481.1,21.0
X-1468,BRCA,INC424,1234.5,33.9,38.0,495.2,16.9
X-1468,BRCA,INC424,1316.0,33.3,42.0,534.5,14.8
X-1468,BRCA,INC424,1364.5,33.1,45.0,557.9,14.1
X-1468,BRCA,INC424,1424.5,34.1,49.0,586.8,17.6
X-1468,BRCA,LEE011 + everolimus,204.8,31.9,0.0,0.0,0.0
X-1468,BRCA,LEE011 + everolimus,218.1,30.3,3.0,6.5,-5.0
X-1468,BRCA,LEE011 + everolimus,227.2,27.6,7.0,10.9,-13.5
X-1468,BRCA,LEE011 + everolimus,234.9,28.3,10.0,14.7,-11.3
X-1468,BRCA,LEE011 + everolimus,244.3,28.1,14.0,19.3,-11.9
X-1468,BRCA,LEE011 + everolimus,248.0,28.2,17.0,21.1,-11.6
X-1468,BRCA,LEE011 + everolimus,260.2,28.8,21.0,27.1,-9.7
X-1468,BRCA,LEE011 + everolimus,245.0,28.0,24.0,19.6,-12.2
X-1468,BRCA,LEE011 + everolimus,260.3,27.1,28.0,27.1,-15.0
X-1468,BRCA,LEE011 + everolimus,273.2,27.3,31.0,33.4,-14.4
X-1468,BRCA,LEE011 + everolimus,311.2,27.1,35.0,52.0,-15.0
X-1468,BRCA,LEE011 + everolimus,322.9,27.9,38.0,57.7,-12.5
X-1468,BRCA,LEE011 + everolimus,332.7,27.8,42.0,62.5,-12.9
X-1468,BRCA,LEE011 + everolimus,402.5,28.5,45.0,96.5,-10.7
X-1468,BRCA,LEE011 + everolimus,490.6,28.4,49.0,139.6,-11.0
X-1468,BRCA,LEE011 + everolimus,512.0,27.8,56.0,150.0,-12.9
X-1468,BRCA,LEE011 + everolimus,630.7,27.6,59.0,208.0,-13.5
X-1468,BRCA,LEE011 + everolimus,669.9,28.0,63.0,227.1,-12.2
X-1468,BRCA,LEE011 + everolimus,734.3,28.1,66.0,258.5,-11.9
X-1468,BRCA,LEE011 + everolimus,785.9,27.1,70.0,283.7,-15.0
X-1468,BRCA,LEE011 + everolimus,827.0,26.1,73.0,303.8,-18.2
X-1468,BRCA,LEE011 + everolimus,910.7,27.8,77.0,344.7,-12.9
X-1468,BRCA,LEE011 + everolimus,1086.6,28.7,80.0,430.6,-10.0
X-1468,BRCA,LEE011 + everolimus,1164.1,28.4,84.0,468.4,-11.0
X-1468,BRCA,LEE011,205.9,31.0,0.0,0.0,0.0
X-1468,BRCA,LEE011,214.5,32.0,3.0,4.2,3.2
X-1468,BRCA,LEE011,213.2,30.7,7.0,3.5,-1.0
X-1468,BRCA,LEE011,200.3,29.8,10.0,-2.7,-3.9
X-1468,BRCA,LEE011,175.6,29.8,14.0,-14.7,-3.9
X-1468,BRCA,LEE011,194.1,28.7,17.0,-5.7,-7.4
X-1468,BRCA,LEE011,193.6,30.1,21.0,-6.0,-2.9
X-1468,BRCA,LEE011,204.6,29.6,24.0,-0.6,-4.5
X-1468,BRCA,LEE011,225.1,29.1,28.0,9.3,-6.1
X-1468,BRCA,LEE011,244.5,29.8,31.0,18.7,-3.9
X-1468,BRCA,LEE011,263.2,29.5,35.0,27.8,-4.8
X-1468,BRCA,LEE011,271.4,30.0,38.0,31.8,-3.2
X-1468,BRCA,LEE011,277.5,30.6,42.0,34.8,-1.3
X-1468,BRCA,LEE011,289.6,30.6,45.0,40.7,-1.3
X-1468,BRCA,LEE011,293.2,31.6,49.0,42.4,1.9
X-1468,BRCA,LEE011,324.4,30.2,52.0,57.6,-2.6
X-1468,BRCA,LEE011,349.4,30.9,56.0,69.7,-0.3
X-1468,BRCA,LEE011,368.1,31.2,63.0,78.8,0.6
X-1468,BRCA,LEE011,392.9,30.2,66.0,90.8,-2.6
X-1468,BRCA,LEE011,433.7,31.2,70.0,110.6,0.6
X-1468,BRCA,LEE011,460.1,30.1,73.0,123.5,-2.9
X-1468,BRCA,LEE011,484.1,32.9,77.0,135.1,6.1
X-1468,BRCA,LEE011,507.3,30.2,80.0,146.4,-2.6
X-1468,BRCA,LEE011,519.5,31.9,84.0,152.3,2.9
X-1468,BRCA,LEE011,581.4,30.5,87.0,182.4,-1.6
X-1468,BRCA,LEE011,615.1,31.5,91.0,198.7,1.6
X-1468,BRCA,LFA102,230.4,25.9,0.0,0.0,0.0
X-1468,BRCA,LFA102,281.0,25.2,3.0,22.0,-2.7
X-1468,BRCA,LFA102,303.5,25.8,7.0,31.7,-0.4
X-1468,BRCA,LFA102,371.9,26.6,10.0,61.4,2.7
X-1468,BRCA,LFA102,463.1,27.2,14.0,101.0,5.0
X-1468,BRCA,LFA102,507.6,26.6,17.0,120.3,2.7
X-1468,BRCA,LFA102,584.2,26.7,21.0,153.6,3.1
X-1468,BRCA,LFA102,724.4,26.8,24.0,214.4,3.5
X-1468,BRCA,LFA102,799.6,27.0,28.0,247.0,4.2
X-1468,BRCA,LFA102,916.9,27.7,31.0,298.0,6.9
X-1468,BRCA,LFA102,1050.4,27.5,35.0,355.9,6.2
X-1468,BRCA,LFA102,1150.3,27.6,38.0,399.3,6.6
X-1468,BRCA,LFA102,1348.0,28.7,42.0,485.1,10.8
X-1468,BRCA,LJM716,228.7,26.1,0.0,0.0,0.0
X-1468,BRCA,LJM716,242.5,25.2,5.0,6.0,-3.4
X-1468,BRCA,LJM716,256.5,24.7,8.0,12.2,-5.4
X-1468,BRCA,LJM716,297.7,24.8,12.0,30.2,-5.0
X-1468,BRCA,LJM716,235.4,25.4,15.0,2.9,-2.7
X-1468,BRCA,LJM716,278.4,25.7,19.0,21.7,-1.5
X-1468,BRCA,LJM716,319.4,26.4,22.0,39.7,1.1
X-1468,BRCA,LJM716,333.9,26.3,26.0,46.0,0.8
X-1468,BRCA,LJM716,342.8,26.0,33.0,49.9,-0.4
X-1468,BRCA,LJM716,359.4,26.0,36.0,57.1,-0.4
X-1468,BRCA,LJM716,387.4,26.1,40.0,69.4,0.0
X-1468,BRCA,LJM716,432.9,27.0,47.0,89.3,3.4
X-1468,BRCA,LJM716,485.4,27.1,50.0,112.2,3.8
X-1468,BRCA,LJM716,543.5,28.1,54.0,137.6,7.7
X-1468,BRCA,LJM716,596.7,26.6,57.0,160.9,1.9
X-1468,BRCA,LJM716,656.0,27.4,61.0,186.8,5.0
X-1468,BRCA,LJM716,676.9,27.7,64.0,196.0,6.1
X-1468,BRCA,LJM716,700.1,27.5,68.0,206.1,5.4
X-1468,BRCA,LJM716,779.9,27.6,71.0,241.0,5.7
X-1468,BRCA,LJM716,729.9,27.6,75.0,219.2,5.7
X-1468,BRCA,LJM716,801.8,26.7,78.0,250.6,2.3
X-1468,BRCA,LJM716,927.2,26.5,81.0,305.4,1.5
X-1468,BRCA,LJM716 + trastuzumab,217.9,26.6,0.0,0.0,0.0
X-1468,BRCA,LJM716 + trastuzumab,227.2,26.3,3.0,4.3,-1.1
X-1468,BRCA,LJM716 + trastuzumab,240.9,26.7,7.0,10.6,0.4
X-1468,BRCA,LJM716 + trastuzumab,251.9,26.7,10.0,15.6,0.4
X-1468,BRCA,LJM716 + trastuzumab,229.2,26.0,14.0,5.2,-2.3
X-1468,BRCA,LJM716 + trastuzumab,260.8,26.5,17.0,19.7,-0.4
X-1468,BRCA,LJM716 + trastuzumab,312.9,25.6,21.0,43.6,-3.8
X-1468,BRCA,LJM716 + trastuzumab,380.9,25.8,24.0,74.8,-3.0
X-1468,BRCA,LJM716 + trastuzumab,419.6,26.4,28.0,92.6,-0.8
X-1468,BRCA,LJM716 + trastuzumab,447.2,27.1,31.0,105.2,1.9
X-1468,BRCA,LJM716 + trastuzumab,550.0,29.4,35.0,152.4,10.5
X-1468,BRCA,LJM716 + trastuzumab,576.9,29.2,38.0,164.8,9.8
X-1468,BRCA,LJM716 + trastuzumab,747.8,28.7,42.0,243.2,7.9
X-1468,BRCA,LJM716 + trastuzumab,838.8,28.4,45.0,284.9,6.8
X-1468,BRCA,LJM716 + trastuzumab,902.9,27.8,49.0,314.4,4.5
X-1468,BRCA,LJM716 + trastuzumab,1242.6,28.5,52.0,470.3,7.1
X-1468,BRCA,LJM716 + trastuzumab,1336.1,28.6,56.0,513.2,7.5
X-1468,BRCA,LKA136,216.6,26.3,0.0,0.0,0.0
X-1468,BRCA,LKA136,239.7,26.5,3.0,10.7,0.8
X-1468,BRCA,LKA136,273.0,26.6,7.0,26.0,1.1
X-1468,BRCA,LKA136,298.4,27.0,10.0,37.8,2.7
X-1468,BRCA,LKA136,332.0,27.2,14.0,53.3,3.4
X-1468,BRCA,LKA136,387.5,27.2,17.0,78.9,3.4
X-1468,BRCA,LKA136,482.3,27.3,21.0,122.7,3.8
X-1468,BRCA,LKA136,539.8,27.4,24.0,149.2,4.2
X-1468,BRCA,LKA136,638.8,27.8,28.0,194.9,5.7
X-1468,BRCA,LKA136,751.6,27.6,31.0,247.0,4.9
X-1468,BRCA,LKA136,809.2,28.3,35.0,273.6,7.6
X-1468,BRCA,LKA136,849.7,28.6,38.0,292.3,8.7
X-1468,BRCA,LKA136,893.0,29.2,42.0,312.3,11.0
X-1468,BRCA,LKA136,977.2,29.8,45.0,351.2,13.3
X-1468,BRCA,LKA136,1032.6,29.6,49.0,376.7,12.5
X-1468,BRCA,LKA136,1067.7,29.3,52.0,392.9,11.4
X-1468,BRCA,LKA136,1199.4,28.9,56.0,453.7,9.9
X-1468,BRCA,LLM871,256.1,26.0,0.0,0.0,0.0
X-1468,BRCA,LLM871,262.7,25.3,3.0,2.6,-2.7
X-1468,BRCA,LLM871,272.3,25.3,7.0,6.3,-2.7
X-1468,BRCA,LLM871,268.6,25.0,10.0,4.9,-3.8
X-1468,BRCA,LLM871,281.0,25.0,14.0,9.7,-3.8
X-1468,BRCA,LLM871,291.5,24.9,17.0,13.8,-4.2
X-1468,BRCA,LLM871,308.8,25.8,21.0,20.6,-0.8
X-1468,BRCA,LLM871,290.5,25.0,24.0,13.4,-3.8
X-1468,BRCA,LLM871,294.5,26.0,28.0,15.0,0.0
X-1468,BRCA,LLM871,301.9,25.1,31.0,17.9,-3.5
X-1468,BRCA,LLM871,325.0,25.9,35.0,26.9,-0.4
X-1468,BRCA,LLM871,371.7,26.1,42.0,45.1,0.4
X-1468,BRCA,LLM871,374.1,25.8,45.0,46.1,-0.8
X-1468,BRCA,LLM871,382.3,26.2,49.0,49.3,0.8
X-1468,BRCA,LLM871,444.9,25.3,56.0,73.7,-2.7
X-1468,BRCA,LLM871,465.8,25.4,59.0,81.9,-2.3
X-1468,BRCA,LLM871,470.7,26.0,63.0,83.8,0.0
X-1468,BRCA,LLM871,500.4,25.5,66.0,95.4,-1.9
X-1468,BRCA,LLM871,535.5,26.5,70.0,109.1,1.9
X-1468,BRCA,LLM871,551.9,26.0,73.0,115.5,0.0
X-1468,BRCA,LLM871,626.0,26.7,77.0,144.4,2.7
X-1468,BRCA,LLM871,676.1,26.4,80.0,164.0,1.5
X-1468,BRCA,LLM871,747.4,27.4,84.0,191.8,5.4
X-1468,BRCA,LLM871,796.7,27.5,87.0,211.1,5.8
X-1468,BRCA,LLM871,846.9,25.5,90.0,230.7,-1.9
X-1468,BRCA,LLM871,817.6,26.0,94.0,219.3,0.0
X-1468,BRCA,LLM871,970.7,27.4,97.0,279.0,5.4
X-1468,BRCA,binimetinib,200.7,23.9,0.0,0.0,0.0
X-1468,BRCA,binimetinib,205.2,23.3,3.0,2.2,-2.5
X-1468,BRCA,binimetinib,202.3,23.4,7.0,0.8,-2.1
X-1468,BRCA,binimetinib,203.2,24.3,10.0,1.2,1.7
X-1468,BRCA,binimetinib,204.8,24.0,14.0,2.0,0.4
X-1468,BRCA,binimetinib,212.4,24.0,17.0,5.8,0.4
X-1468,BRCA,binimetinib,215.9,24.3,21.0,7.6,1.7
X-1468,BRCA,binimetinib,232.0,24.0,24.0,15.6,0.4
X-1468,BRCA,binimetinib,230.2,24.1,28.0,14.7,0.8
X-1468,BRCA,binimetinib,244.2,23.1,31.0,21.7,-3.3
X-1468,BRCA,binimetinib,263.7,23.1,35.0,31.4,-3.3
X-1468,BRCA,binimetinib,277.4,22.9,38.0,38.2,-4.2
X-1468,BRCA,binimetinib,294.6,22.1,42.0,46.8,-7.5
X-1468,BRCA,binimetinib,308.0,22.1,45.0,53.5,-7.5
X-1468,BRCA,binimetinib,315.1,22.1,49.0,57.0,-7.5
X-1468,BRCA,binimetinib,337.2,22.8,52.0,68.0,-4.6
X-1468,BRCA,binimetinib,348.5,21.2,56.0,73.6,-11.3
X-1468,BRCA,binimetinib,360.2,22.1,59.0,79.5,-7.5
X-1468,BRCA,binimetinib,364.6,21.5,63.0,81.7,-10.0
X-1468,BRCA,binimetinib,384.8,23.8,70.0,91.7,-0.4
X-1468,BRCA,binimetinib,434.0,24.6,73.0,116.2,2.9
X-1468,BRCA,binimetinib,444.6,23.1,77.0,121.5,-3.3
X-1468,BRCA,binimetinib,478.6,23.9,80.0,138.5,0.0
X-1468,BRCA,binimetinib,496.8,23.1,84.0,147.5,-3.3
X-1468,BRCA,binimetinib,528.2,22.7,87.0,163.2,-5.0
X-1468,BRCA,binimetinib,586.0,22.7,91.0,192.0,-5.0
X-1468,BRCA,paclitaxel,215.4,25.5,0.0,0.0,0.0
X-1468,BRCA,paclitaxel,224.8,25.7,3.0,4.4,0.8
X-1468,BRCA,paclitaxel,249.4,27.6,7.0,15.8,8.2
X-1468,BRCA,paclitaxel,283.7,28.0,10.0,31.7,9.8
X-1468,BRCA,paclitaxel,296.1,28.7,14.0,37.5,12.5
X-1468,BRCA,paclitaxel,311.0,27.5,17.0,44.4,7.8
X-1468,BRCA,paclitaxel,326.2,27.9,21.0,51.4,9.4
X-1468,BRCA,paclitaxel,346.6,27.0,24.0,60.9,5.9
X-1468,BRCA,paclitaxel,347.2,29.5,28.0,61.2,15.7
X-1468,BRCA,paclitaxel,355.4,29.2,31.0,65.0,14.5
X-1468,BRCA,paclitaxel,363.2,29.9,35.0,68.6,17.3
X-1468,BRCA,paclitaxel,364.0,28.6,38.0,69.0,12.2
X-1468,BRCA,paclitaxel,321.2,29.8,42.0,49.1,16.9
X-1468,BRCA,paclitaxel,319.4,29.8,45.0,48.3,16.9
X-1468,BRCA,paclitaxel,334.5,30.9,49.0,55.3,21.2
X-1468,BRCA,paclitaxel,343.2,30.5,52.0,59.3,19.6
X-1468,BRCA,paclitaxel,341.6,30.6,56.0,58.6,20.0
X-1468,BRCA,paclitaxel,365.4,30.9,59.0,69.6,21.2
X-1468,BRCA,paclitaxel,377.2,30.3,63.0,75.1,18.8
X-1468,BRCA,paclitaxel,380.1,30.9,70.0,76.5,21.2
X-1468,BRCA,paclitaxel,379.1,30.7,73.0,76.0,20.4
X-1468,BRCA,paclitaxel,406.8,30.6,77.0,88.9,20.0
X-1468,BRCA,paclitaxel,446.4,30.4,80.0,107.2,19.2
X-1468,BRCA,paclitaxel,453.8,31.3,84.0,110.7,22.7
X-1468,BRCA,paclitaxel,460.7,30.0,87.0,113.9,17.6
X-1468,BRCA,paclitaxel,519.4,30.0,91.0,141.1,17.6
X-1468,BRCA,tamoxifen,222.2,24.2,0.0,0.0,0.0
X-1468,BRCA,tamoxifen,262.4,25.8,3.0,18.1,6.6
X-1468,BRCA,tamoxifen,327.1,26.2,7.0,47.2,8.3
X-1468,BRCA,tamoxifen,463.2,27.1,10.0,108.5,12.0
X-1468,BRCA,tamoxifen,660.4,28.0,14.0,197.2,15.7
X-1468,BRCA,tamoxifen,775.5,27.7,17.0,249.0,14.5
X-1468,BRCA,tamoxifen,974.3,27.0,21.0,338.5,11.6
X-1468,BRCA,tamoxifen,1020.3,27.9,24.0,359.2,15.3
X-1468,BRCA,tamoxifen,1229.1,28.5,28.0,453.2,17.8
X-1468,BRCA,trastuzumab,219.2,23.1,0.0,0.0,0.0
X-1468,BRCA,trastuzumab,233.9,22.6,3.0,6.7,-2.2
X-1468,BRCA,trastuzumab,260.1,23.1,7.0,18.7,0.0
X-1468,BRCA,trastuzumab,262.8,22.7,10.0,19.9,-1.7
X-1468,BRCA,trastuzumab,283.5,22.7,14.0,29.3,-1.7
X-1468,BRCA,trastuzumab,324.8,22.9,17.0,48.2,-0.9
X-1468,BRCA,trastuzumab,369.6,23.3,21.0,68.6,0.9
X-1468,BRCA,trastuzumab,449.7,24.0,24.0,105.2,3.9
X-1468,BRCA,trastuzumab,593.8,23.8,28.0,170.9,3.0
X-1468,BRCA,trastuzumab,639.2,23.4,31.0,191.6,1.3
X-1468,BRCA,trastuzumab,753.8,23.7,35.0,243.9,2.6
X-1468,BRCA,trastuzumab,887.0,23.8,38.0,304.7,3.0
X-1468,BRCA,trastuzumab,1000.2,25.1,42.0,356.3,8.7
X-1468,BRCA,untreated,245.6,32.0,0.0,0.0,0.0
X-1468,BRCA,untreated,274.2,32.8,3.0,11.6,2.5
X-1468,BRCA,untreated,280.9,30.6,7.0,14.4,-4.4
X-1468,BRCA,untreated,330.3,32.6,10.0,34.5,1.9
X-1468,BRCA,untreated,352.8,32.4,14.0,43.6,1.2
X-1468,BRCA,untreated,407.4,32.0,17.0,65.9,0.0
X-1468,BRCA,untreated,542.7,32.9,21.0,121.0,2.8
X-1468,BRCA,untreated,904.1,32.8,24.0,268.1,2.5
X-1468,BRCA,untreated,961.5,31.3,28.0,291.5,-2.2
X-1468,BRCA,untreated,1066.7,32.9,31.0,334.3,2.8
X-1468,BRCA,untreated,1397.4,32.8,35.0,469.0,2.5
X-1468,BRCA,LFW527 + everolimus,185.88,27.1,0,0,0
X-1468,BRCA,LFW527 + everolimus,231.16,24.8,3,24.4,-8.5
X-1468,BRCA,LFW527 + everolimus,203.26,24.3,6,9.4,-10.3
X-1468,BRCA,LFW527 + everolimus,176.95,23.1,10,-4.8,-14.8
X-1468,BRCA,LFW527 + everolimus,194.34,24.9,13,4.6,-8.1
X-1468,BRCA,LFW527 + everolimus,195.66,24.8,17,5.3,-8.5
X-1468,BRCA,LFW527 + everolimus,207.22,25.6,20,11.5,-5.5
X-1468,BRCA,LFW527 + everolimus,228.52,25.3,24,22.9,-6.6
X-1468,BRCA,LFW527 + everolimus,242.03,25.4,27,30.2,-6.3
X-1468,BRCA,LFW527 + everolimus,241.7,25.3,31,30,-6.6
X-1468,BRCA,LFW527 + everolimus,244.26,23.4,35,31.4,-13.7
X-1468,BRCA,LFW527 + everolimus,226.15,21.7,38,21.7,-19.9
X-1468,BRCA,LFW527 + everolimus,246.23,24.7,41,32.5,-8.9
X-1468,BRCA,LFW527 + everolimus,214.23,24.6,45,15.3,-9.2
X-1468,BRCA,LFW527 + everolimus,188.62,22.4,48,1.5,-17.3
X-1479,CRC,5FU,213.3,26.2,0.0,0.0,0.0
X-1479,CRC,5FU,213.6,24.6,1.0,0.1,-6.1
X-1479,CRC,5FU,176.4,24.3,5.0,-17.3,-7.3
X-1479,CRC,5FU,205.0,24.6,8.0,-3.9,-6.1
X-1479,CRC,5FU,224.9,26.7,12.0,5.4,1.9
X-1479,CRC,5FU,260.8,26.3,15.0,22.3,0.4
X-1479,CRC,5FU,254.6,26.7,19.0,19.4,1.9
X-1479,CRC,5FU,259.2,25.3,22.0,21.5,-3.4
X-1479,CRC,5FU,290.8,25.9,26.0,36.3,-1.1
X-1479,CRC,5FU,250.3,25.1,29.0,17.3,-4.2
X-1479,CRC,5FU,256.6,24.9,33.0,20.3,-5.0
X-1479,CRC,5FU,249.8,24.4,36.0,17.1,-6.9
X-1479,CRC,5FU,213.1,24.1,40.0,-0.1,-8.0
X-1479,CRC,5FU,262.0,24.9,43.0,22.8,-5.0
X-1479,CRC,5FU,279.9,26.4,47.0,31.2,0.8
X-1479,CRC,5FU,336.1,25.0,50.0,57.6,-4.6
X-1479,CRC,5FU,273.2,27.2,54.0,28.1,3.8
X-1479,CRC,5FU,250.0,26.1,57.0,17.2,-0.4
X-1479,CRC,5FU,415.7,26.9,61.0,94.9,2.7
X-1479,CRC,5FU,352.3,26.5,64.0,65.2,1.1
X-1479,CRC,5FU,496.3,25.2,71.0,132.7,-3.8
X-1479,CRC,5FU,474.0,26.1,75.0,122.2,-0.4
X-1479,CRC,5FU,677.2,25.8,79.0,217.5,-1.5
X-1479,CRC,5FU,561.8,26.7,82.0,163.4,1.9
X-1479,CRC,BKM120,196.5,26.4,0.0,0.0,0.0
X-1479,CRC,BKM120,194.6,25.5,3.0,-1.0,-3.4
X-1479,CRC,BKM120,222.0,24.5,7.0,13.0,-7.2
X-1479,CRC,BKM120,201.3,24.3,10.0,2.4,-8.0
X-1479,CRC,BKM120,218.8,24.9,14.0,11.3,-5.7
X-1479,CRC,BKM120,235.1,25.7,17.0,19.6,-2.7
X-1479,CRC,BKM120,254.5,25.8,21.0,29.5,-2.3
X-1479,CRC,BKM120,267.7,26.0,24.0,36.2,-1.5
X-1479,CRC,BKM120,278.4,25.9,28.0,41.7,-1.9
X-1479,CRC,BKM120,281.8,26.3,31.0,43.4,-0.4
X-1479,CRC,BKM120,296.8,26.3,35.0,51.0,-0.4
X-1479,CRC,BKM120,325.9,26.9,38.0,65.9,1.9
X-1479,CRC,BKM120,366.2,27.2,42.0,86.4,3.0
X-1479,CRC,BKM120,387.1,27.5,45.0,97.0,4.2
X-1479,CRC,BKM120,414.4,27.6,49.0,110.9,4.5
X-1479,CRC,BKM120,408.8,27.1,52.0,108.0,2.7
X-1479,CRC,BKM120,339.3,28.2,56.0,72.7,6.8
X-1479,CRC,BKM120,360.9,28.2,59.0,83.7,6.8
X-1479,CRC,BKM120,328.3,27.8,63.0,67.1,5.3
X-1479,CRC,BKM120,347.6,27.2,66.0,76.9,3.0
X-1479,CRC,BKM120,372.3,27.9,73.0,89.5,5.7
X-1479,CRC,BKM120,364.3,27.2,77.0,85.4,3.0
X-1479,CRC,BKM120,336.5,30.3,81.0,71.2,14.8
X-1479,CRC,BKM120,428.4,31.1,84.0,118.0,17.8
X-1479,CRC,BKM120 + LJC049,196.8,25.5,0.0,0.0,0.0
X-1479,CRC,BKM120 + LJC049,190.3,27.0,5.0,-3.3,5.9
X-1479,CRC,BKM120 + LJC049,193.5,26.0,8.0,-1.7,2.0
X-1479,CRC,BKM120 + LJC049,190.8,24.9,12.0,-3.0,-2.4
X-1479,CRC,BKM120 + LJC049,202.7,24.4,15.0,3.0,-4.3
X-1479,CRC,BKM120 + LJC049,211.8,24.6,19.0,7.6,-3.5
X-1479,CRC,BKM120 + LJC049,317.0,25.3,22.0,61.1,-0.8
X-1479,CRC,BKM120 + LJC049,309.3,25.3,26.0,57.2,-0.8
X-1479,CRC,BKM120 + LJC049,357.2,23.8,29.0,81.5,-6.7
X-1479,CRC,BKM120 + LJC049,329.9,20.3,33.0,67.6,-20.4
X-1479,CRC,BYL719 + cetuximab + encorafenib,200.1,24.4,0.0,0.0,0.0
X-1479,CRC,BYL719 + cetuximab + encorafenib,259.5,22.8,5.0,29.7,-6.6
X-1479,CRC,BYL719 + cetuximab + encorafenib,240.6,22.8,8.0,20.2,-6.6
X-1479,CRC,BYL719 + cetuximab + encorafenib,317.5,22.7,11.0,58.7,-7.0
X-1479,CRC,BYL719 + cetuximab + encorafenib,291.8,22.3,14.0,45.8,-8.6
X-1479,CRC,BYL719 + cetuximab + encorafenib,337.9,23.3,18.0,68.9,-4.5
X-1479,CRC,BYL719 + cetuximab + encorafenib,355.6,22.1,21.0,77.7,-9.4
X-1479,CRC,BYL719 + cetuximab + encorafenib,407.6,23.8,25.0,103.7,-2.5
X-1479,CRC,BYL719 + cetuximab + encorafenib,386.9,23.9,28.0,93.4,-2.0
X-1479,CRC,BYL719 + cetuximab + encorafenib,375.7,22.4,33.0,87.8,-8.2
X-1479,CRC,BYL719 + cetuximab + encorafenib,499.2,25.9,36.0,149.5,6.1
X-1479,CRC,BYL719 + cetuximab + encorafenib,453.1,26.0,39.0,126.4,6.6
X-1479,CRC,BYL719 + cetuximab + encorafenib,444.3,24.3,41.0,122.0,-0.4
X-1479,CRC,BYL719 + cetuximab + encorafenib,437.3,26.1,46.0,118.5,7.0
X-1479,CRC,BYL719 + cetuximab + encorafenib,415.9,22.9,50.0,107.8,-6.1
X-1479,CRC,BYL719 + cetuximab + encorafenib,444.6,24.4,53.0,122.2,0.0
X-1479,CRC,BYL719 + cetuximab + encorafenib,611.3,23.9,60.0,205.5,-2.0
X-1479,CRC,BYL719 + cetuximab + encorafenib,549.6,23.5,63.0,174.7,-3.7
X-1479,CRC,BYL719 + cetuximab + encorafenib,521.2,21.5,67.0,160.5,-11.9
X-1479,CRC,BYL719 + cetuximab,197.6,23.1,0.0,0.0,0.0
X-1479,CRC,BYL719 + cetuximab,203.5,23.9,2.0,3.0,3.5
X-1479,CRC,BYL719 + cetuximab,218.6,25.2,7.0,10.6,9.1
X-1479,CRC,BYL719 + cetuximab,258.4,22.9,11.0,30.8,-0.9
X-1479,CRC,BYL719 + cetuximab,270.3,23.1,14.0,36.8,0.0
X-1479,CRC,BYL719 + cetuximab,264.6,23.0,21.0,33.9,-0.4
X-1479,CRC,BYL719 + cetuximab,251.1,24.2,24.0,27.1,4.8
X-1479,CRC,BYL719 + cetuximab,273.5,25.1,28.0,38.4,8.7
X-1479,CRC,BYL719 + LJM716,199.9,23.0,0.0,0.0,0.0
X-1479,CRC,BYL719 + LJM716,181.9,22.0,3.0,-9.0,-4.3
X-1479,CRC,BYL719 + LJM716,150.7,22.5,6.0,-24.6,-2.2
X-1479,CRC,BYL719 + LJM716,170.1,22.1,10.0,-14.9,-3.9
X-1479,CRC,BYL719 + LJM716,182.1,23.1,13.0,-8.9,0.4
X-1479,CRC,BYL719 + LJM716,169.9,23.3,17.0,-15.0,1.3
X-1479,CRC,BYL719 + LJM716,217.4,23.6,20.0,8.8,2.6
X-1479,CRC,BYL719 + LJM716,196.4,24.6,24.0,-1.8,7.0
X-1479,CRC,BYL719 + LJM716,231.3,25.1,27.0,15.7,9.1
X-1479,CRC,BYL719 + LJM716,216.2,25.4,31.0,8.2,10.4
X-1479,CRC,BYL719 + LJM716,228.1,26.1,34.0,14.1,13.5
X-1479,CRC,BYL719 + LJM716,274.7,25.5,38.0,37.4,10.9
X-1479,CRC,BYL719 + LJM716,263.0,24.7,41.0,31.6,7.4
X-1479,CRC,BYL719 + LJM716,268.4,25.6,45.0,34.3,11.3
X-1479,CRC,BYL719 + LJM716,334.8,25.6,48.0,67.5,11.3
X-1479,CRC,BYL719 + LJM716,323.8,26.6,52.0,62.0,15.7
X-1479,CRC,BYL719 + LJM716,359.7,25.6,55.0,79.9,11.3
X-1479,CRC,BYL719 + LJM716,380.8,26.2,59.0,90.5,13.9
X-1479,CRC,BYL719 + LJM716,369.0,26.1,62.0,84.6,13.5
X-1479,CRC,BYL719 + LJM716,468.7,25.5,69.0,134.5,10.9
X-1479,CRC,BYL719 + LJM716,429.9,26.3,73.0,115.1,14.3
X-1479,CRC,BYL719 + LJM716,471.8,25.6,77.0,136.0,11.3
X-1479,CRC,BYL719 + LJM716,488.3,26.2,80.0,144.3,13.9
X-1479,CRC,BYL719 + LJM716,486.8,26.4,83.0,143.5,14.8
X-1479,CRC,BYL719,213.0,32.6,0.0,0.0,0.0
X-1479,CRC,BYL719,202.2,30.4,5.0,-5.1,-6.7
X-1479,CRC,BYL719,203.8,31.7,8.0,-4.3,-2.8
X-1479,CRC,BYL719,215.6,31.7,12.0,1.2,-2.8
X-1479,CRC,BYL719,227.8,31.4,15.0,6.9,-3.7
X-1479,CRC,BYL719,268.2,32.1,19.0,25.9,-1.5
